BundleID,Title,Description,LongDescription,CatchDescription,MissedDescription,ProductCode,ProductValue,PriceInUSD,Diamonds,EquipmentID,CraftingShards,Relics,FortuneWeapons,ClanCrates,PerkSets,Pet1,Pet5,SkillPoints,CardCurrency,FortuneScrolls,RaidCardID,RaidPlayerXP,RewardString,DailyDeliveryID,UnlockNextBundle,Country,TestGroup,TestGroupName,StartDate,DurationDays,EndDateNoTime,StartDateNoTime,ShowTimer,HomeScreen,MaximumPurchaseCount,RepeatOfferIfMissed,BundleImageOverride,ShowPopup,TabOrder,BundleGroup,BgColor,BgColorSecondary,BannerPrefabPath,CatchDescColor,GlowColor
StarterBundle,STARTERBUNDLE_TITLE,STARTERBUNDLE_DESC,STARTERBUNDLE_LONG_DESC,STARTERBUNDLE_CATCH_DESC,STARTERBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.special0,8,3,500,"Weapon_GoldSword,Hat_Gold,Suit_Gold,Aura_GoldenRays,Slash_Gold",0,0,0,0,1,10,2,0,0,0,None,0,,,NewPlayerPowerBundle,,,StarterBundleTestGroup,PLAYER_CREATE,5,-,-,TRUE,FALSE,1,FALSE,,FALSE,,,,,,,
StarterBundle_Group_A,STARTERBUNDLE_GROUP_A_TITLE,STARTERBUNDLE_GROUP_A_DESC,STARTERBUNDLE_GROUP_A_LONG_DESC,STARTERBUNDLE_GROUP_A_CATCH_DESC,STARTERBUNDLE_GROUP_A_MISSED_DESC,com.gamehivecorp.taptitans2.starterlow,8,2,200,"Weapon_GoldSword,Hat_Gold,Suit_Gold,Aura_GoldenRays,Slash_Gold",0,0,0,0,1,3,0,0,0,0,None,0,,,NewPlayerPowerBundle,,starter_pack_low,StarterBundleTestGroup,PLAYER_CREATE,10000,-,-,FALSE,TRUE,1,FALSE,,FALSE,,,,,,,
StarterBundle_Group_B,STARTERBUNDLE_GROUP_B_TITLE,STARTERBUNDLE_GROUP_B_DESC,STARTERBUNDLE_GROUP_B_LONG_DESC,STARTERBUNDLE_GROUP_B_CATCH_DESC,STARTERBUNDLE_GROUP_B_MISSED_DESC,com.gamehivecorp.taptitans2.startermid,8,5,800,"Weapon_GoldSword,Hat_Gold,Suit_Gold,Aura_GoldenRays,Slash_Gold",0,0,0,0,3,15,3,0,0,0,None,0,,,NewPlayerPowerBundle,,starter_pack_mid,StarterBundleTestGroup,PLAYER_CREATE,10000,-,-,FALSE,TRUE,1,FALSE,,FALSE,,,,,,,
StarterBundle_Group_C,STARTERBUNDLE_GROUP_C_TITLE,STARTERBUNDLE_GROUP_C_DESC,STARTERBUNDLE_GROUP_C_LONG_DESC,STARTERBUNDLE_GROUP_C_CATCH_DESC,STARTERBUNDLE_GROUP_C_MISSED_DESC,com.gamehivecorp.taptitans2.starterhigh,8,7,1200,"Weapon_GoldSword,Hat_Gold,Suit_Gold,Aura_GoldenRays,Slash_Gold",0,0,0,0,4,25,5,0,0,0,None,0,,,NewPlayerPowerBundle,,starter_pack_high,StarterBundleTestGroup,PLAYER_CREATE,10000,-,-,FALSE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldSmall_Event19_2023,TRIFOLDSMALL_EVENT19_2023_TITLE,TRIFOLDSMALL_EVENT19_2023_DESC,TRIFOLDSMALL_EVENT19_2023_LONG_DESC,TRIFOLDSMALL_EVENT19_2023_CATCH_DESC,TRIFOLDSMALL_EVENT19_2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer0,30,3,200,None,0,1,1,0,0,5,0,0,300,0,None,0,Equipment:5,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Event19_2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldMedium_Event19_2023,TRIFOLDMEDIUM_EVENT19_2023_TITLE,TRIFOLDMEDIUM_EVENT19_2023_DESC,TRIFOLDMEDIUM_EVENT19_2023_LONG_DESC,TRIFOLDMEDIUM_EVENT19_2023_CATCH_DESC,TRIFOLDMEDIUM_EVENT19_2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer1,40,7,500,None,0,1,1,0,0,10,0,1,1000,0,None,0,Equipment:10,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Event19_2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldLarge_Event19_2023,TRIFOLDLARGE_EVENT19_2023_TITLE,TRIFOLDLARGE_EVENT19_2023_DESC,TRIFOLDLARGE_EVENT19_2023_LONG_DESC,TRIFOLDLARGE_EVENT19_2023_CATCH_DESC,TRIFOLDLARGE_EVENT19_2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer2,50,15,1000,None,20,1,1,0,0,15,0,1,2000,1,None,0,Equipment:15,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Event19_2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldSmall_Tavern2023,TRIFOLDSMALL_TAVERN2023_TITLE,TRIFOLDSMALL_TAVERN2023_DESC,TRIFOLDSMALL_TAVERN2023_LONG_DESC,TRIFOLDSMALL_TAVERN2023_CATCH_DESC,TRIFOLDSMALL_TAVERN2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer0,30,3,200,None,0,1,1,0,0,5,0,0,300,0,None,0,Equipment:5,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Tavern2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldMedium_Tavern2023,TRIFOLDMEDIUM_TAVERN2023_TITLE,TRIFOLDMEDIUM_TAVERN2023_DESC,TRIFOLDMEDIUM_TAVERN2023_LONG_DESC,TRIFOLDMEDIUM_TAVERN2023_CATCH_DESC,TRIFOLDMEDIUM_TAVERN2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer1,40,7,500,None,0,1,1,0,0,10,0,1,1000,0,None,0,Equipment:10,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Tavern2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
TrifoldLarge_Tavern2023,TRIFOLDLARGE_TAVERN2023_TITLE,TRIFOLDLARGE_TAVERN2023_DESC,TRIFOLDLARGE_TAVERN2023_LONG_DESC,TRIFOLDLARGE_TAVERN2023_CATCH_DESC,TRIFOLDLARGE_TAVERN2023_MISSED_DESC,com.gamehivecorp.taptitans2.trifoldoffer2,50,15,1000,None,20,1,1,0,0,15,0,1,2000,1,None,0,Equipment:15,,,,segmented_trifold_test,TriFoldTestGroup,HOLIDAY_EVENT_Tavern2023,21,-,-,TRUE,TRUE,1,FALSE,,FALSE,,,,,,,
RaidStarterBundle,RAIDSTARTERBUNDLE_TITLE,RAIDSTARTERBUNDLE_DESC,RAIDSTARTERBUNDLE_LONG_DESC,RAIDSTARTERBUNDLE_CATCH_DESC,RAIDSTARTERBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.special4,8,3,0,None,0,0,0,0,0,0,0,0,3000,0,"MoonBeam:16,SkullBash:16,RazorWind:16,BurstCount:16,BurningAttack:16,PoisonAttack:16,PlagueAttack:16,Disease:16,ExecutionersAxe:16,ImpactAttack:16,InnerTruth:16,FinisherAttack:16",1000,,,,,,,FIRST_RAID,5,-,-,TRUE,FALSE,1,FALSE,,FALSE,,,,,,,
NewPlayerPowerBundle,NEWPLAYERPOWERBUNDLE_TITLE,NEWPLAYERPOWERBUNDLE_DESC,NEWPLAYERPOWERBUNDLE_LONG_DESC,NEWPLAYERPOWERBUNDLE_CATCH_DESC,NEWPLAYERPOWERBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.sequence0,5,10,1200,None,0,6,4,0,0,0,6,6,0,0,None,0,Equipment:10,,MusketeerBoostBundle,,,,NEWPLAYERPOWERBUNDLE,3,-,-,TRUE,FALSE,1,FALSE,,TRUE,,,#0038c7,#001d80,Prefabs/ShopBundleBannerPrefab,#1a2b90,#00afff
MusketeerBoostBundle,MUSKETEERBOOSTBUNDLE_TITLE,MUSKETEERBOOSTBUNDLE_DESC,MUSKETEERBOOSTBUNDLE_LONG_DESC,MUSKETEERBOOSTBUNDLE_CATCH_DESC,MUSKETEERBOOSTBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.sequence1,5,25,0,"Weapon_Musketeer,Hat_Musketeer,Suit_Musketeer,Aura_Musketeer,Slash_Musketeer",150,0,0,0,0,0,0,0,0,0,None,0,,,,,,,MUSKETEERBOOSTBUNDLE,3,-,-,TRUE,FALSE,1,FALSE,,TRUE,,,#be6b00,#a64c0a,Prefabs/ShopBundleBannerPrefab,#b85700,#fffaf0
ConversionBundle,CONVERSIONBUNDLE_TITLE,CONVERSIONBUNDLE_DESC,CONVERSIONBUNDLE_LONG_DESC,CONVERSIONBUNDLE_CATCH_DESC,CONVERSIONBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.special5,8,3,500,"Weapon_GoldSword,Hat_Gold,Suit_Gold,Aura_GoldenRays,Slash_Gold",0,4,0,0,1,0,0,5,0,0,None,0,,,,,,,NO_SPEND,3,-,-,TRUE,FALSE,1,FALSE,,TRUE,,,,,,,
DailyDeliveryStarterBundle,DAILYDELIVERYSTARTERBUNDLE_TITLE,DAILYDELIVERYSTARTERBUNDLE_DESC,DAILYDELIVERYSTARTERBUNDLE_LONG_DESC,DAILYDELIVERYSTARTERBUNDLE_CATCH_DESC,DAILYDELIVERYSTARTERBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.dailydelivery0,8,5,0,None,0,0,0,0,0,0,0,0,0,0,None,0,,DailyDelivery_STARTER,,,,,PLAYER_CREATE,5,-,-,TRUE,FALSE,1,FALSE,,FALSE,,,,,,,
DailyDeliveryMediumBundle,DAILYDELIVERYMEDIUMBUNDLE_TITLE,DAILYDELIVERYMEDIUMBUNDLE_DESC,DAILYDELIVERYMEDIUMBUNDLE_LONG_DESC,DAILYDELIVERYMEDIUMBUNDLE_CATCH_DESC,DAILYDELIVERYMEDIUMBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.dailydelivery1,8,10,0,None,0,0,0,0,0,0,0,0,0,0,None,0,,DailyDelivery_MEDIUM,,,,,PLAYER_CREATE,3000,-,-,TRUE,FALSE,1000,FALSE,,FALSE,1,TurbineGroup,,,,,
DailyDeliveryLargeBundle,DAILYDELIVERYLARGEBUNDLE_TITLE,DAILYDELIVERYLARGEBUNDLE_DESC,DAILYDELIVERYLARGEBUNDLE_LONG_DESC,DAILYDELIVERYLARGEBUNDLE_CATCH_DESC,DAILYDELIVERYLARGEBUNDLE_MISSED_DESC,com.gamehivecorp.taptitans2.dailydelivery2,10,30,0,None,0,0,0,0,0,0,0,0,0,0,None,0,,DailyDelivery_LARGE,,,,,PLAYER_CREATE,3000,-,-,TRUE,FALSE,1000,FALSE,,FALSE,2,TurbineGroup,#eda12e,#a86706,,,#eda12e
MilestoneBundle0,MILESTONEBUNDLE0_TITLE,MILESTONEBUNDLE0_DESC,MILESTONEBUNDLE0_LONG_DESC,MILESTONEBUNDLE0_CATCH_DESC,MILESTONEBUNDLE0_MISSED_DESC,com.gamehivecorp.taptitans2.milestonebundle0,5,3,0,None,0,0,2,0,1,10,0,0,0,0,None,0,"Pet:Pet1:10,Equipment:7",,,,,,MILESTONEBUNDLE0,3,-,-,TRUE,FALSE,1,TRUE,MilestoneBundleNew,TRUE,,,,,,,
MilestoneBundle1,MILESTONEBUNDLE1_TITLE,MILESTONEBUNDLE1_DESC,MILESTONEBUNDLE1_LONG_DESC,MILESTONEBUNDLE1_CATCH_DESC,MILESTONEBUNDLE1_MISSED_DESC,com.gamehivecorp.taptitans2.milestonebundle1,5,3,500,None,0,1,0,0,1,10,0,0,0,0,None,0,"Equipment:7,Equipment:Rare:3",,,,,,MILESTONEBUNDLE1,3,-,-,TRUE,FALSE,1,TRUE,MilestoneBundleNew,TRUE,,,,,,,
MilestoneBundle2,MILESTONEBUNDLE2_TITLE,MILESTONEBUNDLE2_DESC,MILESTONEBUNDLE2_LONG_DESC,MILESTONEBUNDLE2_CATCH_DESC,MILESTONEBUNDLE2_MISSED_DESC,com.gamehivecorp.taptitans2.milestonebundle2,5,5,500,None,0,0,2,0,1,10,0,2,0,0,None,0,"Equipment:7,Equipment:Rare:3",,,,,,MILESTONEBUNDLE2,3,-,-,TRUE,FALSE,1,TRUE,MilestoneBundleNew,TRUE,,,,,,,
