chestID,chestType,cost,UnlockByStage,totalItems,equipmentLegendary,skillPoints,petsLvl5,weapons,equipmentRare,petsLvl1,relics,SeasonalRelics,SeasonalPetsLvl1,SeasonalPetsLvl5,equipmentCommon,ManaPotion,DoubleDamage,Doom,PowerOfSwiping,MakeItRain,shards,CardCurrency,FortuneScroll,HolidayCurrency
Bronze1,1,375,0,16,0,0,0,0,0,6,0,0,0,0,5,0,1,0,1,1,0,0,0,20
Bronze2,1,425,600,18,0,0,0,0,0,8,0,0,0,0,5,0,1,0,1,1,0,0,0,20
Bronze3,1,500,2200,17,0,0,1,0,0,6,0,0,0,0,5,0,1,0,1,1,0,0,0,20
Bronze4,1,600,2850,18,0,0,2,0,0,6,0,0,0,0,5,0,1,0,1,1,0,0,0,20
Bronze5,1,700,3500,21,0,0,2,0,0,8,0,0,0,0,5,0,1,1,1,1,0,0,0,20
Bronze6,1,800,4450,24,0,0,2,0,0,10,0,0,0,0,5,1,1,1,1,1,0,0,0,20
Silver1,2,500,0,10,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,100,0,40
Silver2,2,600,600,12,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,150,0,40
Silver3,2,800,2200,13,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,150,0,40
Silver4,2,950,2850,17,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,200,0,40
Silver5,2,1100,3500,19,0,0,3,4,2,0,2,0,0,0,0,0,0,0,0,0,0,200,0,40
Silver6,2,1300,4450,23,0,0,3,6,2,0,2,2,0,0,0,0,0,0,0,0,0,200,0,40
Gold1,3,2800,0,46,0,2,5,5,0,0,3,0,0,0,0,0,0,0,0,0,10,750,0,150
Gold2,3,3200,600,53,0,3,5,6,0,0,3,0,0,0,0,0,0,0,0,0,10,1000,0,150
Gold3,3,3500,2200,55,0,3,5,6,0,0,4,0,0,0,0,0,0,0,0,0,20,1000,0,150
Gold4,3,4100,2850,62,0,3,5,6,0,0,5,0,0,0,0,0,0,0,0,0,30,1250,0,150
Gold5,3,4400,3500,64,0,4,5,6,0,0,5,0,0,0,0,0,0,0,0,0,40,1250,0,150
Gold6,3,4800,4450,78,0,4,6,6,0,0,6,6,0,0,0,0,0,0,0,0,50,1500,0,150
